price,year,month,National Capital region,Region III,Region VI,Region VII,Region XI,Region XII,Autonomous region in Muslim Mindanao,Cordillera Administrative region,Region I,Region II,Region IV-A,Region IV-B,Region IX,Region V,Region VIII,Region X,Region XIII
20,2001,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.8,2001,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2001,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.65,2001,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.85,2001,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,2001,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17.8,2001,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2001,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2001,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2001,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2001,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.7,2001,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2001,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2001,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.7,2001,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,2001,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17.8,2001,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16.75,2001,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2001,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2001,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2001,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.35,2001,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2001,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2001,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2001,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,2001,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17.85,2001,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2001,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2001,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15.25,2001,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21.75,2002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.44,2002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.25,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2002,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.3,2002,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2002,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1,2002,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18.6,2002,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16.35,2002,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2002,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16.3,2002,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21.82,2002,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.44,2002,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2002,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2002,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2002,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.65,2002,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.85,2002,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17.9,2002,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2002,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2002,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17.6,2002,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16.4,2002,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21.8,2002,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.4,2002,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2002,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2002,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2002,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.9,2002,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2002,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
